Curve,FPR,TPR,TPR_Lower,TPR_Upper,AUC,AUC_CI_Lower,AUC_CI_Upper
Fusion,0.8542713567839196,0.9906998064137595,0.9820127652390723,0.9981884057971014,,,
Fusion,0.8592964824120604,0.9908503579662308,0.9822364275921898,0.9981983599398321,,,
Fusion,0.864321608040201,0.9910608825281514,0.9824561403508771,0.9982046678635548,,,
Fusion,0.8693467336683417,0.9913039514779738,0.9827882960413081,0.998220640569395,,,
Fusion,0.8743718592964824,0.9915796157725774,0.9828172123553646,0.9982300884955753,,,
Fusion,0.8793969849246231,0.9918996894153588,0.983332560296846,0.9982300884955753,,,
Fusion,0.8844221105527639,0.9924440909230495,0.9840091780926946,0.9982579154673534,,,
Fusion,0.8894472361809045,0.9929742968352023,0.9851010285594947,1.0,,,
Fusion,0.8944723618090452,0.9933741811779155,0.985480943738657,1.0,,,
Fusion,0.8994974874371859,0.9937775117678967,0.9862201330437144,1.0,,,
Fusion,0.9045226130653267,0.9940833540742853,0.9869633999895577,1.0,,,
Fusion,0.9095477386934674,0.9943008836772103,0.9873646209386282,1.0,,,
Fusion,0.914572864321608,0.9944149958194253,0.987410071942446,1.0,,,
Fusion,0.9195979899497487,0.9945559472609459,0.9874326750448833,1.0,,,
Fusion,0.9246231155778895,0.9947382948871522,0.9875217245989305,1.0,,,
Fusion,0.9296482412060302,0.9951459897602932,0.9878672292969632,1.0,,,
Fusion,0.9346733668341709,0.9957509500894679,0.9883018784334574,1.0,,,
Fusion,0.9396984924623115,0.9965303745212672,0.989010989010989,1.0,,,
Fusion,0.9447236180904522,0.9974700661936149,0.9892076591434433,1.0,,,
Fusion,0.949748743718593,0.9983911854443757,0.9907372598162072,1.0,,,
Fusion,0.9547738693467337,0.9991380377304345,0.9914233022699274,1.0,,,
Fusion,0.9597989949748744,0.9996788845727866,0.9945945945945946,1.0,,,
Fusion,0.964824120603015,0.9999355526500708,1.0,1.0,,,
Fusion,0.9698492462311558,0.999988679245283,1.0,1.0,,,
Fusion,0.9748743718592965,0.999988679245283,1.0,1.0,,,
Fusion,0.9798994974874372,1.0,1.0,1.0,,,
Fusion,0.9849246231155779,1.0,1.0,1.0,,,
Fusion,0.9899497487437187,1.0,1.0,1.0,,,
Fusion,0.9949748743718593,1.0,1.0,1.0,,,
Fusion,1.0,1.0,1.0,1.0,,,
Infrared thermography,0.0,0.0,,,0.7165698018746496,,
Infrared thermography,0.0,0.0018083182640144665,,,,,
Infrared thermography,0.0,0.019891500904159132,,,,,
Infrared thermography,0.006550218340611353,0.019891500904159132,,,,,
Infrared thermography,0.006550218340611353,0.02531645569620253,,,,,
Infrared thermography,0.008733624454148471,0.02531645569620253,,,,,
Infrared thermography,0.008733624454148471,0.039783001808318265,,,,,
Infrared thermography,0.010917030567685589,0.039783001808318265,,,,,
Infrared thermography,0.010917030567685589,0.054249547920433995,,,,,
Infrared thermography,0.013100436681222707,0.054249547920433995,,,,,
Infrared thermography,0.013100436681222707,0.0650994575045208,,,,,
Infrared thermography,0.015283842794759825,0.0650994575045208,,,,,
Infrared thermography,0.015283842794759825,0.07775768535262206,,,,,
Infrared thermography,0.019650655021834062,0.07775768535262206,,,,,
Infrared thermography,0.019650655021834062,0.0867992766726944,,,,,
Infrared thermography,0.021834061135371178,0.0867992766726944,,,,,
Infrared thermography,0.021834061135371178,0.09041591320072333,,,,,
Infrared thermography,0.024017467248908297,0.09041591320072333,,,,,
Infrared thermography,0.024017467248908297,0.0922242314647378,,,,,
Infrared thermography,0.026200873362445413,0.0922242314647378,,,,,
Infrared thermography,0.026200873362445413,0.09403254972875226,,,,,
Infrared thermography,0.028384279475982533,0.09403254972875226,,,,,
Infrared thermography,0.028384279475982533,0.09584086799276673,,,,,
Infrared thermography,0.03056768558951965,0.09584086799276673,,,,,
Infrared thermography,0.03056768558951965,0.09945750452079566,,,,,
Infrared thermography,0.039301310043668124,0.09945750452079566,,,,,
Infrared thermography,0.039301310043668124,0.11573236889692586,,,,,
Infrared thermography,0.04148471615720524,0.11573236889692586,,,,,
Infrared thermography,0.04148471615720524,0.11934900542495479,,,,,
Infrared thermography,0.043668122270742356,0.11934900542495479,,,,,
Infrared thermography,0.043668122270742356,0.12115732368896925,,,,,
Infrared thermography,0.04585152838427948,0.12115732368896925,,,,,
Infrared thermography,0.04585152838427948,0.13381555153707053,,,,,
Infrared thermography,0.05021834061135371,0.13381555153707053,,,,,
